T16,Balance of payments summary,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
4,Afghanistan,1985,Balance of Payments: Current account (millions of US dollars),-243,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
4,Afghanistan,2010,Balance of Payments: Current account (millions of US dollars),-578,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
4,Afghanistan,2015,Balance of Payments: Current account (millions of US dollars),"-4,193",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
4,Afghanistan,2019,Balance of Payments: Current account (millions of US dollars),"-3,792",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
4,Afghanistan,2020,Balance of Payments: Current account (millions of US dollars),"-3,137",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
4,Afghanistan,1985,Balance of Payments: Capital account (millions of US dollars),0,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
4,Afghanistan,2010,Balance of Payments: Capital account (millions of US dollars),"1,897",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
4,Afghanistan,2015,Balance of Payments: Capital account (millions of US dollars),"1,318",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
4,Afghanistan,2019,Balance of Payments: Capital account (millions of US dollars),"1,194",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
4,Afghanistan,2020,Balance of Payments: Capital account (millions of US dollars),753,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
4,Afghanistan,1985,Balance of Payments: Financial account (millions of US dollars),-75,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
4,Afghanistan,2010,Balance of Payments: Financial account (millions of US dollars),"1,104",,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
4,Afghanistan,2015,Balance of Payments: Financial account (millions of US dollars),-249,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
4,Afghanistan,2019,Balance of Payments: Financial account (millions of US dollars),76,,"International Monetary Fund (IMF), Washington, D.C., Balance of Payment (BOP) Statistics database, last accessed June 2022."
